tone_index,freq_hz,input_amp,after_h1_amp,after_fir_amp,after_fir_fixed_amp,h1_delta_db,htotal_delta_db,htotal_fixed_delta_db,input_phase_rad,after_h1_phase_rad,after_fir_phase_rad,after_fir_fixed_phase_rad,h1_phase_delta_rad,h2_phase_delta_rad,h2_fixed_phase_delta_rad,htotal_phase_delta_rad,htotal_fixed_phase_delta_rad
0,3550048828.125000,4.345475146293e-02,4.389432897969e-02,4.343795049342e-02,4.344400633580e-02,0.087422879,-0.003358887,-0.002148040,2.317264130766,-2.923442304772,3.031279366202,3.031279366202,1.042478871642,-0.328463636206,-0.328463636206,0.714015235436,0.714015235436
1,3567993164.062500,4.345475146293e-02,4.373904781722e-02,4.345027518143e-02,4.345625504723e-02,0.056641081,-0.000894781,0.000300537,4.804997241251,-0.299581326978,5.208847808520,5.208847808520,1.178606738950,-0.774756171682,-0.774756171682,0.403850567269,0.403850567269
2,3586120605.468750,4.345475146293e-02,4.352909687316e-02,4.344080206804e-02,4.344610531779e-02,0.014847726,-0.002788702,-0.001728394,2.643880855760,-2.371470910999,2.686111683559,2.686111683559,1.267833540420,-1.225602712621,-1.225602712621,0.042230827799,0.042230827799
3,3604064941.406250,4.345475146293e-02,4.336738990285e-02,4.344194115332e-02,4.344603880368e-02,-0.017479715,-0.002560948,-0.001741692,3.495091993387,-1.457456062949,3.153833996134,3.153833996134,1.330637250844,-1.671895248096,-1.671895248096,-0.341257997253,-0.341257997253
4,3622009277.343750,4.345475146293e-02,4.330398796874e-02,4.345218105739e-02,4.345462798270e-02,-0.030187538,-0.000513797,-0.000024682,3.808979966006,-1.083676756683,3.081320766924,3.081320766924,1.390528584491,-2.118187783572,-2.118187783572,-0.727659199081,-0.727659199081
5,3639953613.281250,4.345475146293e-02,4.336888714008e-02,4.347778744782e-02,4.347825809169e-02,-0.017179844,0.004603294,0.004697318,1.217165662328,-3.586540770163,0.132164217970,0.132164217970,1.479478874689,-2.564480319047,-2.564480319047,-1.085001444359,-1.085001444359
6,3658081054.687500,4.345475146292e-02,4.352032403899e-02,4.348641184335e-02,4.348471203810e-02,0.013097000,0.006326085,0.005986562,0.213627176805,-4.455319087710,-1.187460640518,-1.187460640518,1.614239042665,-3.015326859987,-3.015326859987,-1.401087817322,-1.401087817322
7,3676025390.625000,4.345475146293e-02,4.366139585393e-02,4.342641400135e-02,4.342259254679e-02,0.041206913,-0.005666040,-0.006430418,2.107831305114,-2.377775506862,0.443790404855,0.443790404855,1.797578495204,-3.461619395462,-3.461619395462,-1.664040900259,-1.664040900259
8,3693969726.562500,4.345475146293e-02,4.387671874617e-02,4.343974665380e-02,4.343404046217e-02,0.083937434,-0.002999732,-0.004140775,5.116050848495,-5.428915409796,3.229543273625,3.229543273625,2.021404356069,-3.907911930938,-3.907911930938,-1.886507574869,-1.886507574869
9,3712097167.968750,4.345475146294e-02,4.403135487089e-02,4.344867207159e-02,4.344153594993e-02,0.114495576,-0.001215255,-0.002641965,3.827506873713,-6.466086641234,1.741525501248,1.741525501248,2.272777099412,-4.358758471877,-4.358758471877,-2.085981372465,-2.085981372465
10,3730041503.906250,4.345475146292e-02,4.406432135090e-02,4.343541703891e-02,4.342753664652e-02,0.120996309,-0.003865493,-0.005441498,2.188432092814,-7.852566730557,-0.091247123550,-0.091247123550,2.525371790989,-4.805051007353,-4.805051007353,-2.279679216364,-2.279679216364
11,3747985839.843750,4.345475146292e-02,4.403319781174e-02,4.346388021591e-02,4.345604105062e-02,0.114859118,0.001824496,0.000257764,1.754057943690,-8.058027167982,-0.743000096452,-0.743000096452,2.754285502687,-5.251343542828,-5.251343542828,-2.497058040141,-2.497058040141
12,3765930175.781250,4.345475146293e-02,4.389801767329e-02,4.347194437334e-02,4.346497538952e-02,0.088152773,0.003435900,0.002043354,3.421481250805,-6.193652695020,0.675081841035,0.675081841035,2.951236668535,-5.697636078304,-5.697636078304,-2.746399409769,-2.746399409769
13,3784057617.187500,4.345475146293e-02,4.370475585606e-02,4.346080430641e-02,4.345548009431e-02,0.049828564,0.001209780,0.000145640,1.840756978860,-7.605399907911,-1.187511912795,-1.187511912795,3.120213727588,-6.148482619243,-6.148482619243,-3.028268891655,-3.028268891655
14,3802001953.125000,4.345475146293e-02,4.357612897380e-02,4.349409020598e-02,4.349097518364e-02,0.024227546,0.007859610,0.007237509,0.096899841419,-9.200203454056,-3.228607994416,-3.228607994416,3.269267318884,-6.594775154719,-6.594775154719,-3.325507835835,-3.325507835835
15,3819946289.062500,4.345475146292e-02,4.344744246965e-02,4.346235487947e-02,4.346179401870e-02,-0.001461070,0.001519665,0.001407577,0.491319996153,-8.656953798061,-3.131650873896,-3.131650873896,3.418096820145,-7.041067690194,-7.041067690194,-3.622970870049,-3.622970870049
16,3837890625.000000,4.345475146292e-02,4.344940719632e-02,4.346903318847e-02,4.347107564853e-02,-0.001068297,0.002854213,0.003262323,0.784210388557,-8.196979076802,-3.117968688112,-3.117968688112,3.585181149001,-7.487360225670,-7.487360225670,-3.902179076669,-3.902179076669
17,3856018066.406250,4.345475146292e-02,4.351893291997e-02,4.344833446767e-02,4.345273869906e-02,0.012819352,-0.001282746,-0.000402328,-0.995599235386,-9.768654978555,-5.140491130805,-5.140491130805,3.793314871190,-7.938206766609,-7.938206766609,-4.144891895419,-4.144891895419
18,3873962402.343750,4.345475146293e-02,4.368750746395e-02,4.345772142540e-02,4.346389281268e-02,0.046399939,0.000593626,0.001827013,-2.865994973186,-11.402126924369,-7.220255612094,-7.220255612094,4.030238663176,-8.384499302085,-8.384499302085,-4.354260638909,-4.354260638909
19,3891906738.281250,4.345475146293e-02,4.387457478370e-02,4.345934943511e-02,4.346644892745e-02,0.083513003,0.000919010,0.002337816,-0.560765316950,-8.833723892607,-5.098145115808,-5.098145115808,4.293412038702,-8.830791837560,-8.830791837560,-4.537379798858,-4.537379798858
20,3910034179.687500,4.345475146293e-02,4.402152528928e-02,4.344450453360e-02,4.345150010816e-02,0.112556318,-0.002048434,-0.000649917,-0.467342746763,-8.470222463948,-5.185490228089,-5.185490228089,4.563490897174,-9.281638378500,-9.281638378500,-4.718147481326,-4.718147481326
21,3927978515.625000,4.345475146293e-02,4.412529362656e-02,4.345813558626e-02,4.346394501758e-02,0.133006760,0.000676404,0.001837446,0.420898421286,-7.328536183686,-4.490096483302,-4.490096483302,4.816936009387,-9.727930913975,-9.727930913975,-4.910994904588,-4.910994904588
22,3945922851.562500,4.345475146293e-02,4.411663223781e-02,4.345557195526e-02,4.345920368033e-02,0.131301633,0.000164001,0.000889879,0.207383136834,-7.317037829769,-4.924890664860,-4.924890664860,5.041949647756,-10.174223449451,-10.174223449451,-5.132273801694,-5.132273801694
23,3963867187.500000,4.345475146293e-02,4.405350348992e-02,4.349332769256e-02,4.349403547110e-02,0.118863648,0.007707333,0.007848680,1.097729277477,-6.240632593900,-4.294777964467,-4.294777964467,5.228008742982,-10.620515984926,-10.620515984926,-5.392507241944,-5.392507241944
24,3981994628.906250,4.345475146293e-02,4.390259469713e-02,4.351458496152e-02,4.351193734632e-02,0.089058360,0.011951505,0.011423002,1.708809869358,-5.473759469953,-3.978751381459,-3.978751381459,5.383801275048,-11.071362525866,-11.071362525866,-5.687561250817,-5.687561250817
25,3999938964.843750,4.345475146292e-02,4.362401392682e-02,4.343227998175e-02,4.342634305450e-02,0.033767060,-0.004492841,-0.005680230,2.744699661012,-4.293264776591,-3.244549223573,-3.244549223573,5.528406176756,-11.517655061341,-11.517655061341,-5.989248884586,-5.989248884586
26,4017883300.781250,4.345475146292e-02,4.347716888521e-02,4.345837922308e-02,4.344956857208e-02,0.004479718,0.000725099,-0.001036036,4.003252882492,-2.880575668835,-2.278152651293,-2.278152651293,5.682542063032,-11.963947596817,-11.963947596817,-6.281405533785,-6.281405533785
27,4036010742.187500,4.345475146293e-02,4.334319511023e-02,4.343717454792e-02,4.342625336501e-02,-0.022326950,-0.003514047,-0.005698169,2.314342572593,-4.374939471935,-4.223362995332,-4.223362995332,5.877088569831,-12.414794137756,-12.414794137756,-6.537705567925,-6.537705567925
28,4053955078.125000,4.345475146293e-02,4.329368136011e-02,4.341805292293e-02,4.340606907750e-02,-0.032255078,-0.007338533,-0.009736262,-0.708093409803,-7.163331052545,-1.174861804238,-1.174861804238,6.111132971617,-12.861086673232,-12.861086673232,-6.749953701615,-6.749953701615
29,4071899414.062500,4.345475146292e-02,4.338813053849e-02,4.346564958422e-02,4.345373242393e-02,-0.013326645,0.002178082,-0.000203692,-1.137714477946,-7.310583703178,-1.768406990347,-1.768406990347,6.393501389127,-13.307379208707,-13.307379208707,-6.913877819580,-6.913877819580
30,4089843750.000000,4.345475146292e-02,4.350264022026e-02,4.348076180476e-02,4.347005785762e-02,0.009566904,0.005197484,0.003058958,-3.932197023347,-9.795078066855,-4.699193889499,-4.699193889499,6.703489570851,-13.753671744183,-13.753671744183,-7.050182173331,-7.050182173331
31,4107971191.406250,4.345475146293e-02,4.360841318685e-02,4.347370172424e-02,4.346522299206e-02,0.030660272,0.003787020,0.002092834,-5.319337799459,-10.868501194740,-6.223463558324,-6.223463558324,7.017207219077,-14.204518285122,-14.204518285122,-7.187311066045,-7.187311066045
32,4125915527.343750,4.345475146292e-02,4.369481484708e-02,4.348042521286e-02,4.347483173815e-02,0.047852661,0.005130245,0.004012789,-5.767100748021,-11.038047070559,-6.839301969618,-6.839301969618,7.295424291821,-14.650810820598,-14.650810820598,-7.355386528776,-7.355386528776
33,4143859863.281250,4.345475146292e-02,4.366807332715e-02,4.344111003460e-02,4.343868457812e-02,0.042535211,-0.002727125,-0.003212100,-3.498273137719,-8.542351204290,-4.789898638824,-4.789898638824,7.522292547789,-15.097103356073,-15.097103356073,-7.574810808285,-7.574810808285
34,4161987304.687500,4.345475146293e-02,4.363835738687e-02,4.348101513786e-02,4.348161545666e-02,0.036622488,0.005248091,0.005368011,-6.235678539467,-11.117135359080,-7.815529334553,-7.815529334553,7.684913794747,-15.547949897013,-15.547949897013,-7.863036102266,-7.863036102266
35,4179931640.625000,4.345475146293e-02,4.343405922562e-02,4.341680429310e-02,4.341981292530e-02,-0.004137023,-0.007588328,-0.006986448,-8.710756533562,-13.487182061177,-10.631868572127,-10.631868572127,7.789945086744,-15.994242432488,-15.994242432488,-8.204297345744,-8.204297345744
36,4197875976.562500,4.345475146293e-02,4.328580857334e-02,4.344557607263e-02,4.345010692050e-02,-0.033834717,-0.001834203,-0.000928417,-5.584349599522,-16.574574704314,-7.882368443559,-7.882368443559,7.859330816747,-16.440534967964,-16.440534967964,-8.581204151217,-8.581204151217
37,4215820312.500000,4.345475146292e-02,4.308385031725e-02,4.341171197658e-02,4.341671083984e-02,-0.074455239,-0.008607148,-0.007607025,-2.661446266517,-13.584249592479,-5.338335867199,-5.338335867199,7.926752595577,-16.886827503439,-16.886827503439,-8.960074907862,-8.960074907862
38,4233947753.906250,4.345475146292e-02,4.299604582839e-02,4.343978625779e-02,4.344420750934e-02,-0.092175065,-0.002991813,-0.002107819,-3.289388107656,-14.109507566175,-6.314440381836,-6.314440381836,8.029436463020,-17.337674044379,-17.337674044379,-9.308237581359,-9.308237581359
39,4251892089.843750,4.345475146293e-02,4.300738387386e-02,4.348109540037e-02,4.348405639762e-02,-0.089884900,0.005264124,0.005855600,-2.106643027574,-12.765916979474,-5.417142330610,-5.417142330610,8.190281969638,-17.783966579854,-17.783966579854,-9.593684610216,-9.593684610216
40,4269836425.781250,4.345475146293e-02,4.304164405687e-02,4.345200604127e-02,4.345289732140e-02,-0.082968373,-0.000548782,-0.000370620,-2.046546594594,-12.472521269836,-5.570039156447,-5.570039156447,8.423581246297,-18.230259115330,-18.230259115330,-9.806677869033,-9.806677869033
41,4287780761.718750,4.345475146292e-02,4.321541372717e-02,4.348905245103e-02,4.348763262414e-02,-0.047971904,0.006853498,0.006569918,0.615738751818,-9.515923579923,-3.059734002009,-3.059734002009,8.717893589798,-18.676551650805,-18.676551650805,-9.958658061007,-9.958658061007
42,4305908203.125000,4.345475146292e-02,4.333839525662e-02,4.344168189387e-02,4.343809292063e-02,-0.023288884,-0.002612785,-0.003330407,-1.053131167149,-10.846895467611,-4.841552430637,-4.841552430637,9.055791621077,-19.127398191745,-19.127398191745,-10.071606570668,-10.071606570668
43,4323852539.062500,4.345475146292e-02,4.345857902632e-02,4.341948369137e-02,4.341429664730e-02,0.000765033,-0.007052309,-0.008090018,-0.602422959043,-10.059057626328,-4.500007124830,-4.500007124830,9.392921254253,-19.573690727220,-19.573690727220,-10.180769472967,-10.180769472967
44,4341796875.000000,4.345475146293e-02,4.354658972682e-02,4.344696374064e-02,4.344102325057e-02,0.018337587,-0.001556777,-0.002744477,-2.856479767391,-12.002626896134,-6.889868930111,-6.889868930111,9.703408792796,-20.019983262696,-20.019983262696,-10.316574469899,-10.316574469899
45,4359924316.406250,4.345475146293e-02,4.349260063998e-02,4.345319167892e-02,4.344752305481e-02,0.007562135,-0.000311781,-0.001444960,-5.571557830295,-14.458406955943,-9.796495530859,-9.796495530859,9.962706795891,-20.470829803635,-20.470829803635,-10.508123007745,-10.508123007745
46,4377868652.343750,4.345475146292e-02,4.327018581420e-02,4.341619779888e-02,4.341180914339e-02,-0.036970203,-0.007709663,-0.008587707,-7.658011354846,-16.347557771652,-12.131938882045,-12.131938882045,10.160009504732,-20.917122339110,-20.917122339110,-10.757112834379,-10.757112834379
47,4395812988.281250,4.345475146293e-02,4.302895773738e-02,4.345667503610e-02,4.345437168905e-02,-0.085528875,0.000384482,-0.000075911,-4.739436937368,-13.282305162807,-9.512978808675,-9.512978808675,10.306687696099,-21.363414874586,-21.363414874586,-11.056727178487,-11.056727178487
48,4413757324.218750,4.345475146293e-02,4.271131359912e-02,4.346156435315e-02,4.346184720238e-02,-0.149886837,0.001361678,0.001418206,-6.749331309661,-15.170561910954,-11.847528092297,-11.847528092297,10.428325320245,-21.809707410061,-21.809707410061,-11.381382089816,-11.381382089816
49,4431884765.625000,4.345475146293e-02,4.240902622466e-02,4.346210475121e-02,4.346512077166e-02,-0.211579397,0.001469677,0.002072407,-5.710768517976,-14.009074957113,-11.136887679396,-11.136887679396,10.551249482402,-22.260553951001,-22.260553951001,-11.709304468599,-11.709304468599
50,4449829101.562500,4.345475146293e-02,4.219729809493e-02,4.347592209709e-02,4.348139032547e-02,-0.255052530,0.004230631,0.005323039,-5.563039126387,-13.711366686649,-11.285471944407,-11.285471944407,10.701228361277,-22.706846486476,-22.706846486476,-12.005618125199,-12.005618125199
